id,pr_number,requester_id,department,request_date,status,description,created_at
ccf81691-59da-432e-9401-c8baca30f821,PR-00001,951a886e-c227-4138-8a05-2fef2f24c2d2,Legal,2025-04-27,Rejected,Requisition for IT equipment,2026-02-23 10:54:51.772205
901c4bca-fc91-424d-a571-0c99396c2710,PR-00002,47acf5aa-4994-489f-8401-74b596d8d78d,Executive,2025-01-11,Approved,Requisition for raw materials,2026-02-23 10:54:51.772251
c3c7dbbd-53e5-4afd-a98d-119f95c3da35,PR-00003,6f46bc71-a97e-4989-9ec1-f114399219d1,Finance,2024-02-20,Approved,Requisition for office supplies,2026-02-23 10:54:51.772350
284d594e-37f6-4a15-9932-a95120409dfa,PR-00004,af9f5d06-e6c3-4859-8282-8e664f6ebae9,Operations,2024-05-03,Rejected,Requisition for maintenance parts,2026-02-23 10:54:51.772417
da19c252-27e6-431a-b052-ad85b0d6caad,PR-00005,c2cea9ec-7da0-48f3-95d2-4041a87e3fe7,IT,2025-09-20,Approved,Requisition for office supplies,2026-02-23 10:54:51.772427
a7785d35-6a65-4d8e-a618-f291de1cc933,PR-00006,79d02cd6-dbee-4ae7-bceb-ab82ff6d23c7,Procurement,2025-10-04,Pending,Requisition for raw materials,2026-02-23 10:54:51.772501
3dbcc099-56e2-4ee2-a574-92f3df59bcff,PR-00007,761b9383-a22e-429c-b7fa-cba143af59ba,Engineering,2024-05-29,Approved,Requisition for IT equipment,2026-02-23 10:54:51.772511
bfd85f3d-87b2-497e-b2ca-fd8d26045951,PR-00008,47d8e6ba-9273-4e97-870d-a5c4b3ae6bbd,Marketing,2024-05-11,Approved,Requisition for IT equipment,2026-02-23 10:54:51.772561
bffe815d-699e-4420-ae5f-33f739aa5930,PR-00009,ea570582-0c67-488e-b7f1-dde2c1acfedb,HR,2025-01-21,Approved,Requisition for maintenance parts,2026-02-23 10:54:51.772617
fc0fcdce-1e5f-49ce-bda4-12a797811f60,PR-00010,a0907a8d-bbd3-4029-8b63-18b3ff63432c,Sales,2025-12-01,Approved,Requisition for maintenance parts,2026-02-23 10:54:51.772675
d62d0496-8b18-4d23-9013-3298a1abfff2,PR-00011,cfc09f15-3619-4d62-b827-b15e76da2559,IT,2024-05-28,Approved,Requisition for safety gear,2026-02-23 10:54:51.772729
29b13b03-75f9-47a9-a8b8-12e6b546e6e4,PR-00012,579d0881-5786-4f06-ade1-c3d7a87b9b21,Sales,2024-10-18,Rejected,Requisition for IT equipment,2026-02-23 10:54:51.772760
947f7d52-7cbb-42eb-8e9b-d561b42b75cd,PR-00013,15ead9a4-1514-487c-a373-e8d5b4cf7209,Executive,2024-11-14,Pending,Requisition for IT equipment,2026-02-23 10:54:51.772770
4f0a5b41-2243-4ba2-9721-bd8c3b6f7dd9,PR-00014,9a77a6cf-19e3-4b33-9fbb-d6d9e1705e3d,Sales,2025-12-17,Approved,Requisition for raw materials,2026-02-23 10:54:51.772781
3299e27c-6d4f-4ac8-a978-a19dfb6bd7c9,PR-00015,57c3747a-e1e6-4966-842c-1b75432a465b,Sales,2025-04-30,Approved,Requisition for safety gear,2026-02-23 10:54:51.772819
819ff4cc-2f96-4149-961e-50fa993181b6,PR-00016,579d0881-5786-4f06-ade1-c3d7a87b9b21,Operations,2024-08-04,Draft,Requisition for maintenance parts,2026-02-23 10:54:51.772855
